hr,Density,Links,B,V,Size
517,0.8271732397274417,4006,29,167,196
518,0.8294901628940131,3921,29,163,192
519,0.8290580319596299,3943,29,164,193
520,0.8290670615612439,3919,29,163,192
521,0.8308392973324659,3831,29,159,188
522,0.8319789150010982,3788,29,157,186
523,0.8315146224356177,3810,29,158,187
524,0.8333704115684093,3746,29,155,184
525,0.8331122900088417,3769,29,156,185
526,0.8352490421455939,3706,29,153,182
527,0.83603562457182,3661,29,151,180
528,0.8368433233047906,3616,29,149,178
529,0.837907576823833,3572,29,147,176
530,0.8392390011890607,3529,29,145,174
531,0.8395593869731801,3506,29,144,173
532,0.8393199233716475,3505,29,144,173
533,0.8393199233716475,3505,29,144,173
534,0.8402136959689169,3460,29,142,171
535,0.8410369283443385,3439,29,141,170
536,0.8410369283443385,3439,29,141,170
537,0.8410369283443385,3439,29,141,170
538,0.8410369283443385,3439,29,141,170
539,0.8416256157635468,3417,29,140,169
540,0.8427189283056313,3397,29,139,168
541,0.8441983387868109,3354,29,137,166
542,0.8401981230448383,3223,28,137,165
543,0.8360566448801743,3070,27,136,163
544,0.8360566448801743,3070,27,136,163
545,0.8297511312217195,2934,26,136,162
546,0.8297511312217195,2934,26,136,162
547,0.8297511312217195,2934,26,136,162
548,0.8297511312217195,2934,26,136,162
549,0.8304843304843305,2915,26,135,161
550,0.825,2805,25,136,161
551,0.825,2805,25,136,161
552,0.8256934306569343,2828,25,137,162
553,0.818734793187348,2692,24,137,161
554,0.818734793187348,2692,24,137,161
555,0.8194444444444444,2714,24,138,162
556,0.818734793187348,2692,24,137,161
557,0.818734793187348,2692,24,137,161
558,0.8201438848920863,2736,24,139,163
559,0.8194444444444444,2714,24,138,162
560,0.8202380952380952,2756,24,140,164
561,0.837245696400626,3210,27,142,169
562,0.8383141762452108,3282,27,145,172
563,0.8523809523809524,3938,30,154,184
564,0.858027006751688,4575,31,172,203
565,0.8674985145573381,5840,34,198,232
566,0.8810875737060494,8069,38,241,279
567,0.8873798965262379,9605,41,264,305
568,0.8903030303030303,10283,42,275,317
569,0.891751714907144,10660,43,278,321
570,0.8920454545454546,10519,44,268,312
571,0.89398118105126545,11021,46,268,314
572,0.8898326898326898,10371,45,259,304
573,0.8882024882024881,10352,45,259,304
574,0.8883399209486166,10788,48,253,301
575,0.8854484322464619,11324,49,261,310
576,0.8855623543123543,12157,52,264,316
577,0.8821326283322317,12012,51,267,318
578,0.8825021132713441,12528,52,273,325
579,0.8786713286713287,12565,52,275,327
580,0.8785794497473329,12518,52,274,326
581,0.878698224852071,12474,52,273,325
582,0.879069432440219,12205,52,267,319
583,0.8801257108650105,11762,52,257,309
584,0.8812576312576312,11548,52,252,304
585,0.8825217121588089,11381,52,248,300
586,0.8834935897435897,11026,52,240,292
587,0.8838881706528765,10939,52,238,290
588,0.8858165256994145,10892,53,232,285
589,0.8856439704675964,10796,53,230,283
590,0.883294802637212,10316,51,229,280
591,0.8832091788680537,10315,51,229,280
592,0.8873692016148966,10770,53,229,282
593,0.8871775125144398,11520,53,245,298
594,0.8893428668709568,13060,55,267,322
595,0.892343658679135,15268,59,290,349
596,0.8892380608933079,17261,59,329,388
597,0.8857412653446648,18760,60,353,413
598,0.8859123017459682,19941,61,369,430
599,0.8906522497384025,20428,61,376,437
600,0.8890724877157891,20446,61,377,438
601,0.8929939175489975,23784,69,386,455
602,0.8852171030825323,26707,70,431,501
603,0.8796874071432816,29605,71,474,545
604,0.876207729468599,31922,72,506,578
605,0.8772613339145597,32199,74,496,570
606,0.8784624873836492,31333,74,482,556
607,0.8794359576968273,29936,74,460,534
608,0.8808932250636287,29073,74,446,520
609,0.8812718600953895,27716,74,425,499
610,0.8831440135787962,27056,74,414,488
611,0.8846440425387794,26120,74,399,473
612,0.885240162442235,25286,74,386,460
613,0.8864365684946159,24861,74,379,453
614,0.886901726524368,24349,74,371,445
615,0.889615728328865,24887,75,373,448
616,0.8913058856819468,25199,76,372,448
617,0.8921975122502827,26037,77,379,456
618,0.8901978283504388,29924,83,405,488
619,0.8818994835621615,35007,85,467,552
620,0.8737808244387192,37985,88,494,582
621,0.8719895808039557,39502,89,509,598
622,0.8738822487826472,39482,90,502,592
623,0.8754277891854894,38370,90,487,577
624,0.8796515355871493,39784,91,497,588
625,0.8830382661162274,44491,94,536,630
626,0.8865727337064917,55120,99,628,727
627,0.8881830985915493,63061,100,710,810
628,0.8885793871866295,63800,100,718,818
629,0.8899856115107914,61854,100,695,795
630,0.8897800586510264,60683,100,682,782
631,0.8909457364341086,57466,100,645,745
632,0.8921463414634146,54867,100,615,715
633,0.8925496688741722,53910,100,604,704
634,0.8923679727427598,52382,100,587,687
635,0.8920774647887324,50670,100,568,668
636,0.8927838827838828,48746,100,546,646
637,0.893733583489681,47636,100,533,633
638,0.8935260115606937,46374,100,519,619
639,0.893373253493014,44758,100,501,601
640,0.8943089430894309,44000,100,492,592
641,0.8948856548856549,43044,100,481,581
642,0.8955696202531646,42450,100,474,574
643,0.89637339055794,41771,100,466,566
644,0.8959307359307359,41392,100,462,562
645,0.8965630043180529,41111,101,454,555
646,0.8966389912533854,40390,101,446,547
647,0.8973897389738974,39880,101,440,541
648,0.8969304675342249,39769,101,439,540
649,0.8969614202799591,39408,101,435,536
650,0.8986013986013986,39321,102,429,531
651,0.8976272570547137,39571,103,428,531
652,0.8944750399715757,40280,104,433,537
653,0.8924053365571435,41338,106,437,543
654,0.8930378118837349,41662,107,436,543
655,0.8889715608465608,43012,108,448,556
656,0.8854225070084101,44218,110,454,564
657,0.8827768114833999,46186,113,463,576
658,0.8796836753906986,46720,113,470,583
659,0.8788466819221968,48007,115,475,590
660,0.8783890160183067,47982,115,475,590
661,0.8775681341719077,48139,115,477,592
662,0.8761637892072675,48465,115,481,596
663,0.8766498855835241,47887,115,475,590
664,0.8765619291194738,47983,115,476,591
